0.09,20
0.1,0.6825
0.2,0.905416667
0.5,1.588333333
1,2.549166667
1.5,3
2,3.95375
2.5,4
3,5.025833333
3.5,5.3
4,5.727916667
4.5,5.9
5,6.249583333
5.5,6.3
6,6.51875
6.5,6.8
7,7
7.5,7.5
8,6.44375
8.5,6.3
9,6.2
9.5,6.1
10,6.083333333
10.5,5.9
11,5.8
11.5,5.7
12,5.52875
12.5,5.4
13,5.27125
13.5,5.1425
14,5.01375
14.5,4.885
15,4.586666667
15.5,4.45
16,4.313333333
16.5,4.176666666
17,4.039999999
17.5,3.903333332
18,3.671666667
18.5,3.5
19,3.307083333
19.5,3.307083333
20,3.307083333
